Values ,histogram2D(_statGetWaveform( "Fc_TOTAL_GLO" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "Vesta_Filters_40:Test_PPF_GPS_2:2" ?filtPointsList "" ) 10 "standard" "stddev" t),Values ,histogram2D(_statGetWaveform( "Bandwidth_TOTAL_GLO" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "Vesta_Filters_40:Test_PPF_GPS_2:2" ?filtPointsList "" ) 10 "standard" "stddev" t)
14.12E6,7,9.281E6,12
14.18E6,3,9.311E6,7
14.19E6,12,9.320E6,18
14.19E6,9,9.324E6,15
14.20E6,4,9.325E6,13
14.20E6,1,9.327E6,10
14.21E6,6,9.327E6,6
14.22E6,11,9.330E6,19
14.22E6,10,9.331E6,11
14.22E6,5,9.332E6,16
14.22E6,13,9.336E6,2
14.22E6,8,9.342E6,3
14.22E6,14,9.343E6,8
14.22E6,2,9.348E6,5
14.25E6,13,9.350E6,17
14.25E6,29,9.353E6,14
14.25E6,20,9.359E6,1
14.26E6,42,9.362E6,9
14.26E6,40,9.362E6,4
14.26E6,4,9.367E6,8
14.27E6,7,9.369E6,40
14.27E6,30,9.371E6,24
14.27E6,31,9.371E6,11
14.28E6,16,9.373E6,2
14.28E6,27,9.376E6,28
14.28E6,5,9.386E6,21
14.28E6,15,9.387E6,1
14.29E6,6,9.389E6,6
14.29E6,1,9.389E6,13
14.29E6,32,9.397E6,18
14.29E6,38,9.399E6,41
14.30E6,14,9.399E6,31
14.30E6,23,9.399E6,38
14.30E6,25,9.399E6,27
14.30E6,35,9.409E6,30
14.30E6,10,9.410E6,10
14.31E6,33,9.410E6,14
14.31E6,41,9.411E6,29
14.31E6,36,9.415E6,36
14.31E6,37,9.416E6,17
14.31E6,3,9.418E6,5
14.32E6,22,9.418E6,33
14.32E6,11,9.419E6,43
14.32E6,8,9.419E6,37
14.32E6,9,9.419E6,20
14.32E6,28,9.420E6,35
14.33E6,19,9.425E6,39
14.33E6,21,9.426E6,34
14.33E6,18,9.426E6,32
14.33E6,12,9.427E6,9
14.33E6,34,9.429E6,23
14.33E6,39,9.433E6,19
14.33E6,17,9.435E6,3
14.34E6,26,9.436E6,4
14.34E6,24,9.439E6,26
14.34E6,2,9.439E6,15
14.34E6,42,9.442E6,16
14.35E6,23,9.443E6,25
14.35E6,51,9.445E6,12
14.35E6,35,9.447E6,42
14.35E6,48,9.449E6,7
14.35E6,60,9.449E6,22
14.36E6,44,9.450E6,24
14.36E6,26,9.451E6,72
14.36E6,16,9.451E6,16
14.36E6,52,9.452E6,14
14.36E6,78,9.453E6,23
14.37E6,9,9.453E6,61
14.37E6,5,9.456E6,42
14.37E6,59,9.458E6,48
14.37E6,31,9.460E6,59
14.37E6,75,9.462E6,63
14.37E6,45,9.464E6,4
14.38E6,77,9.467E6,12
14.38E6,40,9.468E6,58
14.38E6,24,9.469E6,74
14.38E6,43,9.470E6,1
14.38E6,33,9.472E6,52
14.38E6,72,9.472E6,69
14.38E6,25,9.473E6,36
14.38E6,34,9.473E6,29
14.38E6,46,9.473E6,27
14.38E6,39,9.474E6,17
14.38E6,4,9.477E6,3
14.39E6,18,9.478E6,32
14.39E6,38,9.478E6,71
14.39E6,57,9.481E6,43
14.39E6,62,9.481E6,35
14.39E6,55,9.481E6,75
14.39E6,36,9.482E6,31
14.40E6,53,9.482E6,78
14.40E6,1,9.484E6,18
14.40E6,30,9.485E6,39
14.40E6,68,9.486E6,68
14.40E6,21,9.486E6,25
14.41E6,27,9.494E6,6
14.41E6,76,9.495E6,7
14.41E6,63,9.495E6,80
14.41E6,74,9.496E6,26
14.41E6,2,9.497E6,67
14.41E6,66,9.499E6,8
14.41E6,67,9.499E6,9
14.41E6,14,9.500E6,55
14.41E6,20,9.500E6,54
14.42E6,41,9.501E6,19
14.42E6,49,9.502E6,50
14.42E6,11,9.504E6,56
14.42E6,12,9.507E6,20
14.42E6,28,9.507E6,10
14.42E6,69,9.508E6,62
14.42E6,8,9.508E6,15
14.42E6,73,9.509E6,30
14.43E6,70,9.509E6,53
14.43E6,58,9.511E6,2
14.43E6,32,9.512E6,45
14.43E6,13,9.516E6,70
14.43E6,6,9.516E6,57
14.43E6,29,9.516E6,28
14.43E6,37,9.518E6,77
14.43E6,61,9.519E6,65
14.43E6,22,9.520E6,66
14.44E6,71,9.521E6,60
14.44E6,15,9.521E6,46
14.44E6,56,9.521E6,47
14.44E6,10,9.521E6,41
14.44E6,19,9.523E6,79
14.44E6,54,9.524E6,21
14.44E6,17,9.524E6,49
14.44E6,50,9.524E6,33
14.45E6,3,9.524E6,38
14.45E6,64,9.524E6,51
14.45E6,65,9.525E6,44
14.45E6,7,9.525E6,37
14.45E6,47,9.525E6,82
14.45E6,73,9.526E6,76
14.45E6,84,9.527E6,13
14.45E6,4,9.527E6,11
14.46E6,25,9.528E6,34
14.46E6,43,9.529E6,5
14.46E6,78,9.530E6,22
14.46E6,72,9.530E6,40
14.46E6,26,9.530E6,64
14.46E6,18,9.531E6,83
14.47E6,44,9.532E6,81
14.47E6,55,9.532E6,73
14.47E6,52,9.535E6,88
14.47E6,57,9.535E6,5
14.47E6,90,9.535E6,29
14.47E6,31,9.536E6,42
14.47E6,13,9.536E6,62
14.47E6,33,9.537E6,23
14.47E6,46,9.538E6,97
14.47E6,30,9.539E6,9
14.47E6,83,9.539E6,19
14.47E6,82,9.540E6,41
14.47E6,87,9.541E6,49
14.47E6,2,9.541E6,12
14.47E6,71,9.541E6,56
14.48E6,36,9.541E6,96
14.48E6,20,9.542E6,67
14.48E6,45,9.542E6,7
14.48E6,69,9.543E6,15
14.48E6,65,9.544E6,55
14.48E6,21,9.544E6,37
14.48E6,50,9.546E6,84
14.48E6,63,9.547E6,33
14.48E6,19,9.550E6,59
14.49E6,76,9.550E6,45
14.49E6,16,9.551E6,1
14.49E6,58,9.552E6,75
14.49E6,75,9.553E6,72
14.49E6,54,9.556E6,32
14.49E6,3,9.559E6,92
14.49E6,66,9.561E6,43
14.49E6,11,9.561E6,100
14.49E6,81,9.561E6,26
14.49E6,8,9.561E6,77
14.50E6,62,9.562E6,98
14.50E6,41,9.562E6,52
14.50E6,68,9.563E6,13
14.50E6,1,9.563E6,80
14.50E6,86,9.563E6,60
14.50E6,5,9.563E6,16
14.51E6,64,9.563E6,68
14.51E6,10,9.564E6,39
14.51E6,34,9.564E6,102
14.51E6,32,9.565E6,94
14.51E6,47,9.566E6,10
14.51E6,51,9.567E6,35
14.51E6,29,9.567E6,93
14.51E6,49,9.568E6,6
14.51E6,77,9.569E6,11
14.51E6,28,9.570E6,86
14.52E6,59,9.572E6,95
14.52E6,7,9.572E6,8
14.52E6,48,9.573E6,63
14.52E6,60,9.573E6,30
14.53E6,15,9.575E6,87
14.53E6,61,9.575E6,89
14.53E6,23,9.576E6,71
14.53E6,80,9.577E6,73
14.53E6,56,9.577E6,66
14.53E6,67,9.581E6,69
14.54E6,35,9.582E6,25
14.54E6,12,9.582E6,53
14.54E6,37,9.583E6,22
14.54E6,79,9.583E6,18
14.54E6,38,9.584E6,91
14.54E6,74,9.584E6,50
14.54E6,53,9.584E6,3
14.54E6,24,9.586E6,74
14.54E6,17,9.587E6,81
14.54E6,14,9.587E6,99
14.54E6,88,9.587E6,46
14.55E6,27,9.587E6,21
14.55E6,39,9.588E6,79
14.55E6,42,9.589E6,34
14.55E6,85,9.589E6,78
14.55E6,40,9.590E6,57
14.55E6,70,9.590E6,44
14.55E6,9,9.592E6,51
14.56E6,6,9.593E6,101
14.56E6,22,9.594E6,65
14.56E6,89,9.596E6,2
14.56E6,48,9.596E6,58
14.56E6,55,9.597E6,31
14.56E6,28,9.598E6,61
14.56E6,56,9.603E6,40
14.57E6,53,9.603E6,17
14.57E6,42,9.603E6,47
14.57E6,44,9.603E6,70
14.57E6,29,9.605E6,64
14.57E6,72,9.606E6,83
14.57E6,6,9.607E6,76
14.57E6,20,9.607E6,4
14.57E6,1,9.608E6,14
14.58E6,31,9.609E6,24
14.58E6,58,9.609E6,28
14.58E6,19,9.610E6,82
14.58E6,26,9.610E6,54
14.58E6,9,9.611E6,27
14.58E6,2,9.612E6,36
14.58E6,22,9.612E6,85
14.58E6,47,9.613E6,90
14.58E6,67,9.613E6,48
14.59E6,69,9.614E6,38
14.59E6,35,9.616E6,20
14.59E6,46,9.617E6,103
14.59E6,70,9.618E6,31
14.60E6,17,9.618E6,56
14.60E6,5,9.619E6,69
14.60E6,51,9.619E6,12
14.60E6,59,9.620E6,55
14.60E6,43,9.620E6,38
14.61E6,62,9.621E6,16
14.61E6,38,9.625E6,18
14.61E6,50,9.626E6,68
14.61E6,57,9.627E6,46
14.61E6,39,9.629E6,8
14.61E6,40,9.630E6,39
14.62E6,10,9.630E6,32
14.62E6,34,9.631E6,73
14.62E6,61,9.632E6,37
14.63E6,66,9.633E6,66
14.63E6,13,9.636E6,9
14.63E6,49,9.637E6,30
14.63E6,37,9.638E6,24
14.63E6,3,9.640E6,45
14.64E6,24,9.641E6,59
14.64E6,23,9.641E6,43
14.64E6,18,9.642E6,36
14.64E6,68,9.643E6,14
14.64E6,36,9.644E6,23
14.64E6,30,9.645E6,2
14.65E6,15,9.645E6,3
14.65E6,4,9.646E6,44
14.65E6,64,9.646E6,22
14.65E6,11,9.647E6,28
14.65E6,65,9.647E6,5
14.65E6,12,9.648E6,42
14.65E6,60,9.649E6,71
14.65E6,63,9.649E6,15
14.65E6,7,9.649E6,33
14.65E6,54,9.650E6,75
14.65E6,52,9.651E6,49
14.65E6,8,9.651E6,60
14.66E6,16,9.654E6,29
14.66E6,21,9.655E6,40
14.66E6,27,9.655E6,1
14.66E6,25,9.655E6,65
14.66E6,75,9.655E6,13
14.66E6,45,9.657E6,74
14.66E6,33,9.658E6,19
14.66E6,73,9.660E6,52
14.66E6,32,9.661E6,48
14.66E6,71,9.661E6,70
14.66E6,14,9.663E6,64
14.67E6,41,9.664E6,34
14.67E6,74,9.667E6,62
14.67E6,57,9.668E6,57
14.67E6,38,9.671E6,26
14.67E6,64,9.672E6,47
14.67E6,31,9.672E6,11
14.68E6,6,9.673E6,53
14.68E6,67,9.674E6,51
14.68E6,51,9.677E6,7
14.69E6,47,9.677E6,25
14.69E6,59,9.678E6,54
14.69E6,37,9.679E6,50
14.69E6,26,9.679E6,63
14.69E6,25,9.680E6,72
14.69E6,5,9.682E6,41
14.69E6,27,9.682E6,17
14.69E6,74,9.684E6,35
14.69E6,48,9.684E6,20
14.69E6,20,9.684E6,58
14.70E6,40,9.685E6,6
14.70E6,60,9.687E6,4
14.70E6,52,9.690E6,27
14.70E6,24,9.692E6,61
14.70E6,62,9.697E6,10
14.70E6,7,9.697E6,67
14.70E6,43,9.699E6,21
14.70E6,42,9.701E6,42
14.70E6,15,9.702E6,80
14.71E6,21,9.702E6,10
14.71E6,30,9.702E6,7
14.71E6,63,9.702E6,41
14.71E6,80,9.704E6,15
14.71E6,71,9.707E6,18
14.71E6,66,9.707E6,50
14.71E6,19,9.708E6,90
14.71E6,53,9.708E6,44
14.71E6,68,9.709E6,54
14.72E6,10,9.710E6,23
14.72E6,65,9.711E6,27
14.72E6,39,9.712E6,17
14.72E6,70,9.714E6,33
14.72E6,41,9.714E6,14
14.73E6,50,9.716E6,28
14.73E6,1,9.718E6,74
14.73E6,44,9.718E6,38
14.73E6,54,9.718E6,92
14.73E6,36,9.719E6,43
14.73E6,8,9.719E6,21
14.73E6,55,9.722E6,62
14.73E6,3,9.722E6,49
14.73E6,16,9.723E6,19
14.73E6,56,9.723E6,65
14.73E6,32,9.724E6,88
14.73E6,45,9.725E6,34
14.74E6,76,9.726E6,87
14.74E6,28,9.726E6,83
14.74E6,49,9.726E6,4
14.74E6,35,9.727E6,24
14.74E6,69,9.727E6,47
14.74E6,58,9.727E6,75
14.74E6,33,9.727E6,5
14.74E6,18,9.730E6,13
14.74E6,2,9.732E6,29
14.75E6,11,9.733E6,81
14.75E6,46,9.735E6,60
14.75E6,29,9.737E6,31
14.75E6,13,9.738E6,72
14.76E6,78,9.738E6,48
14.76E6,72,9.740E6,46
14.76E6,79,9.740E6,2
14.76E6,17,9.742E6,68
14.76E6,9,9.744E6,58
14.76E6,73,9.744E6,36
14.76E6,14,9.745E6,73
14.77E6,75,9.745E6,12
14.77E6,77,9.747E6,37
14.77E6,4,9.747E6,16
14.77E6,12,9.748E6,51
14.77E6,61,9.751E6,3
14.77E6,22,9.753E6,91
14.77E6,23,9.754E6,52
14.77E6,34,9.755E6,64
14.78E6,70,9.755E6,76
14.78E6,37,9.755E6,78
14.78E6,14,9.755E6,93
14.78E6,34,9.756E6,32
14.78E6,21,9.756E6,11
14.78E6,64,9.757E6,77
14.78E6,44,9.758E6,35
14.78E6,50,9.759E6,1
14.78E6,67,9.760E6,30
14.79E6,51,9.760E6,55
14.79E6,18,9.761E6,20
14.79E6,45,9.762E6,84
14.79E6,5,9.762E6,56
14.79E6,23,9.763E6,63
14.79E6,53,9.764E6,25
14.80E6,7,9.765E6,8
14.80E6,38,9.766E6,66
14.80E6,69,9.766E6,59
14.80E6,65,9.766E6,57
14.80E6,1,9.767E6,85
14.80E6,60,9.767E6,70
14.80E6,24,9.768E6,94
14.80E6,62,9.769E6,61
14.81E6,68,9.770E6,69
14.81E6,46,9.770E6,6
14.81E6,61,9.770E6,79
14.81E6,29,9.772E6,86
14.81E6,33,9.774E6,9
14.82E6,11,9.774E6,26
14.82E6,3,9.774E6,39
14.82E6,71,9.774E6,71
14.82E6,43,9.775E6,82
14.82E6,52,9.775E6,45
14.82E6,22,9.777E6,40
14.82E6,35,9.778E6,89
14.82E6,63,9.779E6,95
14.82E6,39,9.784E6,67
14.82E6,54,9.784E6,22
14.83E6,10,9.784E6,53
14.83E6,15,9.785E6,2
14.83E6,9,9.787E6,36
14.83E6,16,9.797E6,20
14.83E6,36,9.797E6,5
14.83E6,47,9.799E6,11
14.83E6,41,9.799E6,10
14.84E6,28,9.801E6,17
14.84E6,26,9.804E6,25
14.84E6,4,9.807E6,6
14.84E6,25,9.812E6,13
14.84E6,30,9.813E6,34
14.84E6,59,9.815E6,23
14.85E6,12,9.817E6,14
14.85E6,31,9.819E6,28
14.85E6,57,9.820E6,30
14.85E6,32,9.820E6,18
14.85E6,48,9.821E6,8
14.85E6,17,9.825E6,38
14.85E6,72,9.831E6,27
14.86E6,42,9.832E6,7
14.86E6,13,9.835E6,39
14.86E6,27,9.835E6,1
14.86E6,66,9.838E6,29
14.87E6,6,9.840E6,12
14.87E6,58,9.842E6,19
14.87E6,8,9.842E6,33
14.87E6,49,9.844E6,32
14.87E6,19,9.845E6,4
14.88E6,56,9.846E6,37
14.88E6,2,9.849E6,16
14.88E6,55,9.850E6,26
14.88E6,20,9.850E6,31
14.88E6,40,9.851E6,21
14.89E6,20,9.854E6,3
14.89E6,4,9.859E6,15
14.89E6,23,9.860E6,40
14.89E6,8,9.862E6,35
14.89E6,28,9.865E6,24
14.90E6,18,9.866E6,22
14.91E6,9,9.867E6,9
14.91E6,19,9.872E6,17
14.92E6,10,9.879E6,18
14.92E6,11,9.881E6,19
14.92E6,24,9.882E6,2
14.93E6,17,9.883E6,10
14.93E6,14,9.883E6,16
14.93E6,25,9.885E6,22
14.94E6,6,9.885E6,11
14.94E6,27,9.888E6,3
14.94E6,21,9.892E6,26
14.94E6,1,9.893E6,12
14.95E6,3,9.894E6,8
14.96E6,2,9.900E6,24
14.97E6,12,9.902E6,23
14.97E6,5,9.905E6,9
14.97E6,13,9.907E6,6
14.97E6,26,9.912E6,21
14.98E6,15,9.912E6,1
14.99E6,22,9.917E6,7
14.99E6,7,9.923E6,4
14.99E6,16,9.926E6,13
15.00E6,3,9.926E6,25
15.00E6,5,9.938E6,5
15.00E6,2,9.949E6,14
15.01E6,7,9.949E6,20
15.01E6,10,9.951E6,15
15.01E6,13,9.958E6,2
15.03E6,1,9.969E6,3
15.03E6,8,9.976E6,6
15.04E6,4,9.984E6,7
15.05E6,9,10.01E6,8
15.06E6,6,10.02E6,4
15.07E6,14,10.02E6,9
15.08E6,12,10.02E6,1
15.08E6,11,10.03E6,5
15.13E6,6,10.05E6,7
15.15E6,2,10.07E6,6
15.16E6,1,10.08E6,1
15.17E6,5,10.08E6,2
15.17E6,7,10.09E6,5
15.20E6,4,10.11E6,4
15.21E6,3,10.12E6,3
